logik_id,quelle_frage_id,bedingung,ziel_frage_id,ziel_section_id,aktion,bemerkung
57,mieterstromVirtuellAllowed,"mieterstromVirtuellAllowed == ""nein""",mieterstromVirtuellDeniedReason,mieterstrom-planning,anzeigen,
58,mieterstromVirtuellAllowed,"mieterstromVirtuellAllowed == ""nein""",mieterstromVirtuellDeniedDocuments,mieterstrom-planning,anzeigen,
59,mieterstromVirtuellAllowed,"mieterstromVirtuellAllowed == ""ja""",mieterstromVirtuellWandlermessung,mieterstrom-planning,anzeigen,
60,mieterstromVirtuellWandlermessung,"mieterstromVirtuellWandlermessung == ""ja""",mieterstromVirtuellWandlermessungDocuments,mieterstrom-planning,anzeigen,
61,mieterstromVnbResponse,"mieterstromVnbResponse enthält ""moeglich_gmsb""",,mieterstrom-vnb-offer,section_anzeigen,"Section ""4. Planung: Modellspezifisch – Mieterstrom - Verteilnetzbetreiber Angebot"" nur sichtbar wenn Bedingung erfüllt"
62,mieterstromMsbCosts,"mieterstromMsbCosts == ""ja""",mieterstromMsbCostsOneTime,mieterstrom-vnb-offer,anzeigen,
63,mieterstromMsbCosts,"mieterstromMsbCosts == ""ja""",mieterstromMsbCostsYearly,mieterstrom-vnb-offer,anzeigen,
64,(projectTypes,"(projectTypes enthält ""mieterstrom"") UND ((mieterstromPlanningStatus enthält ""pv_laeuft_ggv_laeuft"") ODER ((NICHT(projectTypes enthält eines von [ggv, ggv_oder_mieterstrom])) UND (planningStatus enthält ""pv_laeuft_ggv_laeuft"")))",,mieterstrom-operation,section_anzeigen,"Section ""5. Betrieb: Modellspezifisch – Mieterstrom"" nur sichtbar wenn Bedingung erfüllt"
65,mieterstromOperationCosts,"mieterstromOperationCosts == ""ja""",mieterstromOperationCostsOneTime,mieterstrom-operation,anzeigen,
66,mieterstromOperationCosts,"mieterstromOperationCosts == ""ja""",mieterstromOperationCostsYearly,mieterstrom-operation,anzeigen,
67,projectTypes,"projectTypes enthält ""energysharing""",,energy-sharing,section_anzeigen,"Section ""4. Planung: Modellspezifisch – Energy Sharing"" nur sichtbar wenn Bedingung erfüllt"
68,esStatus,"esStatus enthält eines von [in_betrieb_vollversorgung, in_betrieb_42c]",esInOperationDetails,energy-sharing,anzeigen,
69,esStatus,"esStatus enthält eines von [in_betrieb_vollversorgung, in_betrieb_42c]",esOperatorDetails,energy-sharing,anzeigen,
70,esVnbContact,"esVnbContact == ""ja""",esVnbResponse,energy-sharing,anzeigen,
71,esVnbContact,"esVnbContact == ""ja""",esNetzentgelteDiscussion,energy-sharing,anzeigen,
72,projectTypes,"projectTypes enthält eines von [ggv, mieterstrom, ggv_oder_mieterstrom]",npsScore,final,anzeigen,
