bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018
10001465,0f7d15b3,STADTWERKE UNNA GMBH,Stadtwerke Unna GmbH,21.0,0.0,21.0,39.0,0.0,39.0,,,,14.0,28.0,42.0,30.0,170.0,200.0,,,
10001468,3d05e928,Netze Calw GmbH,Netze Calw GmbH,12.0,0.0,12.0,28.0,0.0,28.0,,,,2.0,0.0,2.0,2.0,0.0,2.0,,,
10001469,2707763f,Stadtwerke Windsbach,Stadtwerke Windsbach,14.0,28.0,42.0,,,,,,,5.0,10.0,15.0,,,,,,
10001470,bc80729b,SWW Wunsiedel GmbH,SWW Wunsiedel GmbH,21.0,30.0,51.0,28.0,120.0,148.0,,,,14.0,28.0,42.0,28.0,120.0,148.0,,,
10001471,73527997,SÜC Energie und H2O GmbH,SÜC Energie und H²O GmbH,14.0,84.0,98.0,42.0,365.0,407.0,,,,14.0,14.0,28.0,50.0,,50.0,,,
10001473,9b5a1abd,Stadtwerke Bramsche GmbH,Stadtwerke Bramsche GmbH,5.0,14.0,19.0,,,,,,,5.0,5.0,10.0,,,,,,
10001475,00c90dd1,Stadtwerke Havelberg GmbH,Stadtwerke Havelberg GmbH,30.0,30.0,60.0,,,,,,,20.0,10.0,30.0,,,,,,
10001477,5bb35872,Stadtwerke Zweibrücken GmbH,Stadtwerke Zweibrücken GmbH,5.0,8.0,13.0,120.0,540.0,660.0,,,,5.0,10.0,15.0,,,,,,
10001486,afc33ca2,Elektrizitätswerk des Kantons Schaffhausen AG,Elektrizitätswerk des Kantons Schaffhausen AG,7.0,28.0,35.0,30.0,63.0,93.0,,,,14.0,10.0,24.0,,,,,,
10001487,5a82278a,Gemeindewerke Herxheim,Gemeindewerke Herxheim,14.0,1.0,15.0,,,,,,,14.0,1.0,15.0,,,,,,
10001488,aa77c9a1,Erlanger Stadtwerke AG,Erlanger Stadtwerke AG,15.0,35.0,50.0,30.0,260.0,290.0,,,,15.0,14.0,29.0,35.0,93.0,128.0,,,
10001493,47d6e656,Stadtwerke Niesky GmbH,Stadtwerke Niesky GmbH,14.0,0.0,14.0,,,,,,,14.0,90.0,104.0,,,,,,
10001494,66ac47a7,Stadtwerke Weilburg GmbH,Stadtwerke Weilburg GmbH,20.0,20.0,40.0,25.0,25.0,50.0,,,,20.0,40.0,60.0,25.0,250.0,275.0,,,
10001495,62879a36,Syna GmbH,Syna GmbH,1.0,1.0,2.0,56.0,565.0,621.0,,,,45.0,75.0,120.0,90.0,180.0,270.0,180.0,180.0,360.0
10001497,4c2966e1,Stadtwerke Hameln Weserbergland GmbH,Stadtwerke Hameln Weserbergland GmbH,1.5,11.0,12.5,1.5,11.0,12.5,,,,20.0,45.0,65.0,45.0,45.0,90.0,,,
10001503,62414e99,Stadtwerke Lutherstadt Wittenberg GmbH,Stadtwerke Lutherstadt Wittenberg GmbH,10.0,10.0,20.0,49.0,14.0,63.0,,,,10.0,10.0,20.0,49.0,90.0,139.0,,,
10001505,70cf060e,Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,14.0,30.0,44.0,14.0,14.0,28.0,,,,14.0,30.0,44.0,,,,,,
10001509,0b455c9c,Stadtwerke Groß-Gerau Versorgungs GmbH,Stadtwerke Gross-Gerau Versorgungs GmbH,1.0,21.0,22.0,14.0,280.0,294.0,,,,5.0,21.0,26.0,14.0,270.0,284.0,,,
10001510,f20d9244,Gemeindewerke Baiersbronn,Gemeindewerke Baiersbronn,3.0,,3.0,5.0,,5.0,,,,3.0,,3.0,5.0,,5.0,,,
10001515,76312ee5,Stadtwerke Neuruppin GmbH,Stadtwerke Neuruppin GmbH,7.0,0.0,7.0,40.0,50.0,90.0,,,,7.0,7.0,14.0,,,,,,
10001521,5cdcfe36,Stadtwerke Stockach GmbH,Stadtwerke Stockach GmbH,11.0,46.0,57.0,5.0,,5.0,,,,7.0,7.0,14.0,,,,,,
10001523,683d2df4,Gemeindewerke Gangkofen,Gemeindewerke Gangkofen,5.0,5.0,10.0,5.0,5.0,10.0,,,,5.0,5.0,10.0,,,,,,
10001525,0f86847b,T.W.O. Technische Werke Osning GmbH,T.W.O. Technische Werke Osning GmbH,10.0,30.0,40.0,30.0,120.0,150.0,,,,10.0,30.0,40.0,30.0,80.0,110.0,,,
10001527,0b3392b8,Stadtwerke Witzenhausen GmbH,Stadtwerke Witzenhausen GmbH,14.0,23.0,37.0,40.0,0.0,40.0,,,,16.0,21.0,37.0,,,,,,
10001528,65d3949e,Gemeindewerke Kirkel GmbH,Gemeindewerke Kirkel GmbH,23.0,90.0,113.0,60.0,128.0,188.0,,,,23.0,23.0,46.0,30.0,30.0,60.0,,,
10001535,6b983fd8,Elektrizitätswerke Reutte GmbH & Co. KG,Elektrizitätswerke Reutte GmbH & Co. KG,2.0,2.0,4.0,2.0,2.0,4.0,,,,12.0,25.0,37.0,20.0,60.0,80.0,,,
10001543,ddb2a9fb,EZV Energie- und Service GmbH & Co. KG Untermain,EZV Energie- und Service GmbH & Co. KG Untermain,4.0,21.0,25.0,0.0,30.0,30.0,,,,5.0,10.0,15.0,,,,,,
10001544,805c6ce4,Gemeindewerke Waging,Gemeindewerke Waging a. See,10.0,16.0,26.0,,,,,,,10.0,16.0,26.0,,,,,,
10001550,36405f45,Bocholter Energie- und Wasserversorgung GmbH,Bocholter Energie- und Wasserversorgung GmbH,,,,,,,,,,,,,,,,,,
10001553,792169d1,Stadtwerke Mengen,Stadtwerke Mengen,14.0,30.0,44.0,20.0,60.0,80.0,,,,7.0,30.0,37.0,,,,,,
10001560,c2976cae,Gemeindewerke Nümbrecht GmbH,Gemeindewerke Nümbrecht GmbH,10.0,20.0,30.0,,,,,,,10.0,20.0,30.0,,,,,,
10001561,7b41f4ab,Stadtwerke Emmerich GmbH,Stadtwerke Emmerich GmbH,7.0,103.0,110.0,37.0,65.0,102.0,,,,180.0,180.0,360.0,180.0,180.0,360.0,,,
10001563,8282c41d,Stadtwerke Jülich GmbH,Stadtwerke Jülich GmbH,7.0,2.0,9.0,10.0,5.0,15.0,,,,10.0,3.0,13.0,,,,,,
10001565,055820fc,Stadtwerke Zeven GmbH,Stadtwerke Zeven GmbH,7.0,1.0,8.0,14.0,1.0,15.0,,,,7.0,1.0,8.0,,,,,,
10001567,e82cb6fb,Elektrizitätswerk Bruchmühlbach-Miesau,Elektrizitätswerk Bruchmühlbach-Miesau,18.0,21.0,39.0,,,,,,,18.0,21.0,39.0,,,,,,
10001568,2cc22f5e,Gemeindewerke Langenpreising GmbH & Co. KG,Gemeindewerke Langenpreising,,,,,,,,,,,,,,,,,,
10001575,31648c7b,Elektra-Genossenschaft Effeltrich e.G.,Elektra-Genossenschaft Effeltrich eG,7.0,7.0,14.0,,,,,,,14.0,14.0,28.0,,,,,,
10001577,e02c5ded,EVI Energieversorgung Hildesheim GmbH & Co. KG,EVI Energieversorgung Hildesheim GmbH & Co. KG,10.0,,10.0,10.0,,10.0,,,,10.0,10.0,20.0,,,,,,
10001580,94c878bb,EVU Weilerbach,EVU Weilerbach,18.0,21.0,39.0,,,,,,,18.0,21.0,39.0,,,,,,
10001584,bbd2a7f6,Stadtwerke Dülmen GmbH,Stadtwerke Dülmen GmbH,5.0,56.0,61.0,56.0,365.0,421.0,,,,5.0,5.0,10.0,56.0,356.0,412.0,,,
10001588,3bab492d,Stadtwerke Lauterbach GmbH,Stadtwerke Lauterbach GmbH,15.0,15.0,30.0,27.0,200.0,227.0,,,,15.0,15.0,30.0,27.0,200.0,227.0,,,
10001589,9f5ac72f,Verbandsgemeindewerke Enkenbach-Alsenborn,Verbandsgemeindewerke Enkenbach-Alsenborn,21.0,21.0,42.0,,,,,,,14.0,21.0,35.0,,,,,,
10001593,e0f67ce3,Nordseeheilbad Borkum GmbH,Nordseeheilbad Borkum GmbH,30.0,30.0,60.0,,,,,,,,,,,,,,,
10001594,708fb2fb,Stadtwerke Cham GmbH,Stadtwerke Cham GmbH,5.0,5.0,10.0,20.0,20.0,40.0,,,,5.0,5.0,10.0,20.0,20.0,40.0,,,
10001596,592a4559,Stadtwerke Wachenheim,Stadtwerke Wachenheim,17.0,75.0,92.0,,,,,,,8.0,30.0,38.0,,,,,,
10001598,15c9a451,Elektrizitäts-Versorgungs-Genossenschaft Perlesreut eG,Elektrizitäts-VersorgungsGenossenschaft Perlesreut eG,25.0,38.0,63.0,25.0,38.0,63.0,,,,30.0,30.0,60.0,,,,,,
10001606,d7247dd8,Gemeindewerke Nüdlingen,Gemeindewerke Nüdlingen,14.0,,14.0,,,,,,,14.0,,14.0,,,,,,
10001607,e7f3da90,nvb Nordhorner Versorgungsbetriebe GmbH,nvb Nordhorner Versorgungsbetriebe GmbH,3.0,32.865296803653,35.865296803653,40.5,96.8666666666667,137.366666666667,,,,3.0,5.0,8.0,21.0,56.0,77.0,,,
10001611,46f200ed,Gemeindewerke Garmisch-Partenkirchen,"Gemeindewerke Garmisch-Partenkirchen, KU",7.0,14.0,21.0,,,,,,,7.0,14.0,21.0,,,,,,
10001614,bd205387,Überlandzentrale Wörth/I. - Altheim Netz AG,Überlandzentrale Wörth/I.-Altheim Netz AG,10.0,20.0,30.0,10.0,129.0,139.0,,,,10.0,10.0,20.0,25.0,25.0,50.0,,,
10001615,faa755ad,SWB Stadtwerke Biedenkopf GmbH,SWB Stadtwerke Biedenkopf GmbH,7.0,23.0,30.0,,,,,,,7.0,60.0,67.0,,,,,,
10001623,f48dbb74,Elektrizitätsgenossenschaft Oesterweg eG,Elektrizitätsgenossenschaft Oesterweg eG,10.0,60.0,70.0,,,,,,,5.0,60.0,65.0,,,,,,
10001624,e64f6c6e,Aschaffenburger Versorgungs-GmbH,Aschaffenburger Versorgungs-GmbH,20.0,30.0,50.0,16.0,44.0,60.0,,,,20.0,40.0,60.0,29.0,173.0,202.0,,,
10001627,3fadb335,Donau-Stadtwerke Dillingen-Lauingen,Donau-Stadtwerke Dillingen-Lauingen,11.0,10.0,21.0,34.0,26.0,60.0,,,,15.0,10.0,25.0,,,,,,
10001637,afe639e2,Stadtwerke Feuchtwangen,Stadtwerke Feuchtwangen,7.0,40.0,47.0,20.0,171.0,191.0,,,,7.0,32.0,39.0,,,,,,
10001645,8bfbc6cc,Mitteldeutsche Netzgesellschaft Strom mbH,Mitteldeutsche Netzgesellschaft Strom mbH,3.0,10.0,13.0,78.0,148.0,226.0,79.0,0.0,79.0,6.0,10.0,16.0,88.0,171.0,259.0,84.0,,84.0
10001650,c32add32,EVU Späth e.K.,EVU Späth e.K.,5.0,10.0,15.0,,,,,,,5.0,10.0,15.0,,,,,,
10001666,3d8e90f6,Elektrizitäts-Genossenschaft Schlachters eG,Elektrizitätsgenossenschaft Schlachters e.G.,30.0,6.0,36.0,30.0,6.0,36.0,,,,30.0,30.0,60.0,,,,,,
10001667,4ab2640e,Stadtwerke Balingen,Stadtwerke Balingen,30.0,90.0,120.0,,,,,,,14.0,14.0,28.0,28.0,90.0,118.0,,,
10001669,cd0739a3,ÜZ Mainfranken eG,ÜZ Mainfranken eG,40.0,70.0,110.0,49.0,400.0,449.0,,,,10.0,70.0,80.0,50.0,180.0,230.0,,,
10001670,a10df81a,Getec net GmbH,GETEC net GmbH,5.0,15.0,20.0,5.0,15.0,20.0,,,,5.0,15.0,20.0,5.0,15.0,20.0,,,
10001674,9a379d77,EVU Markt Obernzell,Markt Obernzell Elektrizitäts- versorgungsunternehmen,3.0,10.0,13.0,,,,,,,1.0,10.0,11.0,,,,,,
10001676,bb2386e4,Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach GmbH,Gemeindewerke Hütschenhausen c/o SW Ramstein-Miesenbach GmbH,18.0,21.0,39.0,,,,,,,18.0,21.0,39.0,,,,,,
10001677,7e2fc0e1,Elektrizitätsgenossenschaft Engelsberg e.G.,Elektrizitätsgenossenschaft Engelsberg eG,14.0,30.0,44.0,,,,,,,30.0,30.0,60.0,,,,,,
10001681,b2395ce3,Gemeindewerke Frammersbach,Gemeindewerke Frammersbach,30.0,30.0,60.0,,,,,,,30.0,30.0,60.0,,,,,,
10001690,96682984,Kraftwerk Farchant A. Poettinger & Co. KG,Kraftwerk Farchant A. Poettinger & Co. KG,21.0,14.0,35.0,,,,,,,21.0,14.0,35.0,,,,,,
10001691,78ae2696,Wendelsteinbahn-Verteilnetz GmbH,Wendelsteinbahn Verteilnetz GmbH,21.0,1.0,22.0,,,,,,,14.0,14.0,28.0,,,,,,
10001693,dc56f273,"Niedersachsen Ports GmbH & Co. KG, Niederlassung Emden",Niedersachsen Ports GmbH & Co. KG,2.0,180.0,182.0,2.0,360.0,362.0,,,,,,,,,,,,
10001697,3f752114,Stadtwerke Dreieich GmbH,Stadtwerke Dreieich GmbH,31.0,164.0,195.0,47.0,256.0,303.0,,,,27.0,156.0,183.0,43.0,249.0,292.0,,,
10001700,b88a813e,Stadtwerke Eutin GmbH,Stadtwerke Eutin GmbH,5.0,14.0,19.0,5.0,14.0,19.0,,,,7.0,14.0,21.0,,,,,,
10001705,c61b18f4,Stadtwerke Meiningen GmbH,Stadtwerke Meiningen GmbH,3.0,7.0,10.0,5.0,10.0,15.0,,,,13.0,20.0,33.0,150.0,70.0,220.0,,,
10001707,807547c4,Stadtwerke Pritzwalk GmbH,Stadtwerke Pritzwalk GmbH,6.0,10.0,16.0,,,,,,,6.0,10.0,16.0,,,,,,
10001712,b28cc916,Gebrüder Eirich GmbH & Co KG,Gebrüder Eirich GmbH & Co. KG,20.0,40.0,60.0,,,,,,,14.0,21.0,35.0,,,,,,
10001714,3d11f022,Elektrizitätsvereinigung Böbing eG,Elektrizitätsvereinigung Böbing eG,45.0,90.0,135.0,,,,,,,5.0,5.0,10.0,,,,,,
10001715,f029b270,Stadtwerke Bad Wildbad GmbH & Co. KG,Stadtwerke Bad Wildbad GmbH & Co. KG,20.0,20.0,40.0,,,,,,,15.0,35.0,50.0,,,,,,
10001720,1cb07185,Kraftwerk Köhlgartenwiese GmbH,Kraftwerk Köhlgartenwiese GmbH,14.0,45.0,59.0,,,,,,,14.0,45.0,59.0,,,,,,
10001722,574a5332,Gemeindewerke Wildeck,Gemeindewerke Wildeck,27.0,1.0,28.0,,,,,,,3.0,2.0,5.0,,,,,,
10001723,e148f8c8,Stadtwerke Walldürn GmbH,Stadtwerke Walldürn GmbH,10.0,12.0,22.0,20.0,30.0,50.0,,,,5.0,9.0,14.0,,,,,,
10001725,c50c2d47,Stromversorgung Zerbst GMBH & Co. KG,Stromversorgung Zerbst GmbH & Co. KG,28.0,120.0,148.0,56.0,200.0,256.0,,,,,,,56.0,200.0,256.0,,,
10001726,7ff1bc82,Stadtwerke Bad Herrenalb GmbH,Stadtwerke Bad Herrenalb GmbH,30.0,90.0,120.0,30.0,90.0,120.0,,,,30.0,90.0,120.0,,,,,,
10001727,dbdbffba,Stadtwerke Walldorf GmbH & Co. KG,Stadtwerke Walldorf GmbH & Co. KG,15.0,15.0,30.0,,,,,,,,,,,,,,,
10001733,347a46ee,Stadtwerke Lindau (B) GmbH & Co. KG,Stadtwerke Lindau (B) GmbH & Co. KG,21.0,60.0,81.0,30.0,180.0,210.0,,,,14.0,60.0,74.0,30.0,180.0,210.0,,,
10001736,e7c5de7d,Stadtwerke Warburg GmbH,Stadtwerke Warburg GmbH,20.0,20.0,40.0,40.0,40.0,80.0,,,,6.0,6.0,12.0,,,,,,
10001737,4be8a402,Elektrizitätsgenossenschaft Nordhalben und Umgebung eG,Elektrizitätsgenossenschaft Nordhalben und Umgebung e. G.,10.0,50.0,60.0,,,,,,,10.0,20.0,30.0,,,,,,
10001738,1fa7d7d2,Kreiswerke Main-Kinzig GmbH,Kreiswerke Main-Kinzig GmbH,70.0,21.0,91.0,120.0,400.0,520.0,,,,10.0,20.0,30.0,90.0,20.0,110.0,,,
10001739,e90525d2,Stadtwerke Aue - Bad Schlema GmbH,Stadtwerke Aue - Bad Schlema GmbH,1.0,10.0,11.0,36.0,17.0,53.0,,,,1.0,10.0,11.0,23.0,17.0,40.0,,,
10001747,c9731ba9,OsthessenNetz GmbH,OsthessenNetz GmbH,4.0,1.0,5.0,32.0,1.0,33.0,,,,3.0,1.0,4.0,28.0,1.0,29.0,,,
10001749,f6a3c60b,Elektrizitätswerk Mainbernheim GmbH,Elektrizitätswerk Mainbernheim GmbH,7.0,14.0,21.0,,,,,,,5.0,3.0,8.0,,,,,,
10001751,50a2b3f4,Stadtwerke Löbau GmbH,Stadtwerke Löbau GmbH,15.0,15.0,30.0,,,,,,,15.0,1.0,16.0,,,,,,
10001757,71d3b897,SWS Netze Solingen GmbH,SWS Netze Solingen GmbH,5.0,1.0,6.0,15.0,5.0,20.0,,,,5.0,5.0,10.0,15.0,5.0,20.0,,,
10001762,bd52d8bf,Stadtwerke Bad Rodach,Stadtwerke Bad Rodach,14.0,3.0,17.0,21.0,5.0,26.0,,,,3.0,3.0,6.0,3.0,3.0,6.0,,,
10001778,24968672,FischerStrom KG,FischerStrom GmbH & Co. KG,,,,,,,,,,,,,,,,,,
10001781,0c490d1f,WSW Netz GmbH,WSW Netz GmbH,1.0,1.0,2.0,11.0,11.0,22.0,,,,3.0,3.0,6.0,20.0,20.0,40.0,,,
10001785,274a19cb,Stadtwerke Sondershausen Netz GmbH,Stadtwerke Sondershausen Netz GmbH,7.0,17.0,24.0,,,,,,,9.0,9.0,18.0,,,,,,
10001788,043bb473,NEW Netz GmbH,NEW Netz GmbH,3.0,10.0,13.0,29.0,75.0,104.0,,,,3.0,10.0,13.0,10.0,30.0,40.0,,,
10001791,81499e3e,Stadtnetze Münster,Stadtnetze Münster GmbH,15.0,30.0,45.0,15.0,90.0,105.0,,,,15.0,30.0,45.0,15.0,90.0,105.0,,,
10001795,33d909cd,GeraNetz GmbH,GeraNetz GmbH,10.0,30.0,40.0,30.0,200.0,230.0,,,,10.0,30.0,40.0,30.0,200.0,230.0,,,
10001798,b7704395,Vereinigte Stadtwerke Netz GmbH,Vereinigte Stadtwerke Netz GmbH,2.0,1.0,3.0,20.0,1.0,21.0,,,,2.0,1.0,3.0,20.0,1.0,21.0,,,
10001806,d7641b3f,AllgäuNetz GmbH & Co. KG,AllgäuNetz GmbH & Co. KG,26.0,42.0,68.0,26.0,28.0,54.0,,,,26.0,42.0,68.0,50.0,50.0,100.0,,,
10001813,0198bc82,Netzgesellschaft Schwerin mbH,Netzgesellschaft Schwerin mbH (NGS),13.0,0.0,13.0,40.0,52.0,92.0,,,,1.0,0.0,1.0,,,,,,
10001815,41e831fc,Elektra Genossenschaft Pinzberg e.G.,Elektra - Genossenschaft Pinzberg eG,7.0,7.0,14.0,,,,,,,14.0,14.0,28.0,,,,,,
10001817,d37bce1f,RheinNetz GmbH,RheinNetz GmbH,6.0,27.0,33.0,34.0,128.0,162.0,1.0,281.5,282.5,6.0,27.0,33.0,34.0,128.0,162.0,,,
10001821,d42bdae2,ENWG Energienetze Weimar GmbH & Co. KG,ENWG Energienetze Weimar GmbH & Co. KG,7.0,30.0,37.0,14.0,90.0,104.0,,,,7.0,30.0,37.0,14.0,90.0,104.0,,,
10001822,f2d9da0f,Stadtwerke Geldern Netz GmbH,Stadtwerke Geldern Netz GmbH,20.0,25.0,45.0,183.0,180.0,363.0,,,,5.0,50.0,55.0,183.0,180.0,363.0,,,
10001824,4c1ed2e3,Nordhausen Netz GmbH,Nordhausen Netz GmbH,35.0,170.0,205.0,55.0,300.0,355.0,,,,60.0,180.0,240.0,70.0,90.0,160.0,,,
10001826,ac4efffb,ELE Verteilnetz GmbH,ELE Verteilnetz GmbH,1.0,1.0,2.0,28.0,120.0,148.0,,,,14.0,60.0,74.0,20.0,120.0,140.0,,,
10001829,d9756cc9,Netzgesellschaft Bitterfeld-Wolfen mbH,Netzgesellschaft Bitterfeld-Wolfen mbH,3.0,2.0,5.0,,,,,,,2.0,2.0,4.0,,,,,,
10001832,150519c2,TEN Thüringer Energienetze GmbH & Co. KG,TEN Thüringer Energienetze GmbH & Co. KG,1.0,1.0,2.0,134.0,42.0,176.0,,,,1.0,1.0,2.0,69.0,184.0,253.0,,,
10001834,82c8ab84,Stromnetz Berlin GmbH,Stromnetz Berlin GmbH,1.0,70.0,71.0,1.0,400.0,401.0,,,,1.0,70.0,71.0,30.0,419.0,449.0,360.0,360.0,720.0
10001835,21a574ab,Hamburger Energienetze GmbH,Hamburger Energienetze GmbH,15.0,94.0,109.0,34.0,196.0,230.0,54.0,336.0,390.0,11.0,96.0,107.0,11.0,125.0,136.0,,,
10001836,b71ea8a8,ovag Netz GmbH,ovag Netz GmbH,65.0,140.0,205.0,37.0,149.0,186.0,,,,42.0,29.0,71.0,81.0,8.0,89.0,,,
10001846,05324bc7,EWE NETZ GmbH,EWE NETZ GmbH,1.0,22.0,23.0,28.0,330.0,358.0,,,,1.0,1.0,2.0,45.0,728.0,773.0,,,
10001851,6d6b0580,EVB Netze GmbH,EVB Netze GmbH,8.0,8.0,16.0,50.0,350.0,400.0,,,,2.0,14.0,16.0,,,,,,
10001853,4e09025b,Gemeindewerke Schwarzenbruck GmbH,Gemeindewerke Schwarzenbruck GmbH (GWS),14.0,30.0,44.0,,,,,,,13.0,25.0,38.0,,,,,,
10001855,45874d8e,Gothaer Stadtwerke NETZ GmbH,Gothaer Stadtwerke NETZ GmbH,28.0,90.0,118.0,56.0,180.0,236.0,,,,28.0,90.0,118.0,56.0,180.0,236.0,,,
10001858,dc7f9cfd,Bonn-Netz GmbH,Bonn-Netz GmbH,11.0,40.0,51.0,24.0,25.0,49.0,,,,7.0,10.0,17.0,10.0,20.0,30.0,,,
10001863,13c1e99d,AVU Netz GmbH,AVU Netz GmbH,7.0,0.0,7.0,,,,,,,36.0,23.0,59.0,82.0,45.0,127.0,,,
10001868,544cc907,Stadtwerke Mühlhausen Netz GmbH,Stadtwerke Mühlhausen Netz GmbH,20.0,20.0,40.0,20.0,20.0,40.0,,,,20.0,20.0,40.0,20.0,150.0,170.0,,,
10001870,93d3d285,Energieversorgung Halle Netz GmbH,Energieversorgung Halle Netz GmbH,40.0,0.0,40.0,61.0,0.0,61.0,,,,48.0,43.0,91.0,71.0,32.0,103.0,,,
10001872,511e6961,NETZE Bad Langensalza GmbH,NETZE Bad Langensalza GmbH,14.0,14.0,28.0,30.0,475.0,505.0,,,,14.0,30.0,44.0,,,,,,
10001874,ad13be72,SachsenNetze HS.HD GmbH,SachsenNetze HS.HD GmbH,21.5,61.44,82.94,4.0,,4.0,16.5,,16.5,,,,,,,,,
10001877,8db8c061,Energieversorgung Rottenburg am Neckar GmbH,Energieversorgung Rottenburg am Neckar GmbH,25.0,180.0,205.0,50.0,540.0,590.0,,,,30.0,180.0,210.0,50.0,360.0,410.0,,,
10001880,e90f7462,Dortmunder Netz GmbH,Dortmunder Netz GmbH,1.0,31.0,32.0,45.0,89.0,134.0,,,,5.0,42.0,47.0,90.0,60.0,150.0,,,
10001882,afd10af4,Netz Leipzig GmbH,Netz Leipzig GmbH,17.0,38.0,55.0,30.0,250.0,280.0,,,,25.0,30.0,55.0,70.0,150.0,220.0,,,
10001887,c03ea661,Netzgesellschaft Ahlen mbH,Netzgesellschaft Ahlen mbH,10.0,41.0,51.0,70.0,181.0,251.0,,,,20.0,0.0,20.0,,,,,,
10001891,100af520,Netze Magdeburg GmbH,Netze Magdeburg GmbH,21.0,0.0,21.0,25.0,0.0,25.0,,,,13.0,0.0,13.0,31.0,0.0,31.0,,,
10001893,0fb413d7,inetz GmbH,inetz GmbH,30.0,60.0,90.0,90.0,180.0,270.0,,,,14.0,42.0,56.0,,,,,,
10001899,f0bb75bf,Stadtwerke Georgsmarienhütte Netz GmbH,Stadtwerke Georgsmarienhütte Netz GmbH,3.0,75.0,78.0,15.0,90.0,105.0,,,,3.0,3.0,6.0,,,,,,
10001904,72b4fc71,Überlandwerk Mittelbaden GmbH & Co. KG,Überlandwerk Mittelbaden GmbH & Co. KG,10.0,7.0,17.0,12.0,7.0,19.0,,,,6.0,5.0,11.0,10.0,5.0,15.0,,,
10001910,591d473d,Stadtwerke Burg Energienetze GmbH,Stadtwerke Burg Energienetze GmbH,14.0,7.0,21.0,42.0,14.0,56.0,,,,20.0,30.0,50.0,40.0,60.0,100.0,,,
10001913,00ee3847,Netze Duisburg GmbH,Netze Duisburg GmbH,31.0,16.0,47.0,52.0,78.0,130.0,,,,25.0,156.0,181.0,45.0,165.0,210.0,,,
10001915,afd463cc,N-ERGIE NETZ GmbH,N-ERGIE Netz GmbH,19.0,26.0,45.0,78.0,327.0,405.0,98.0,,98.0,2.0,90.0,92.0,3.0,152.0,155.0,,,
10002798,1da82dbe,Stadtwerke Karlsruhe Netzservice GmbH,Stadtwerke Karlsruhe Netzservice GmbH,12.0,61.0,73.0,23.0,90.0,113.0,180.0,120.0,300.0,5.0,180.0,185.0,30.0,700.0,730.0,,,
10002813,5d7afa39,Harz Energie Netz GmbH,Harz Energie Netz GmbH,30.0,120.0,150.0,40.0,160.0,200.0,40.0,360.0,400.0,30.0,40.0,70.0,40.0,160.0,200.0,40.0,360.0,400.0
10002846,1d63d3b5,MVV Netze GmbH,MVV Netze GmbH,14.0,51.0,65.0,23.0,153.0,176.0,13.0,0.0,13.0,43.0,43.0,86.0,15.0,15.0,30.0,,,
10002848,218f4912,Greizer Energienetze GmbH,Greizer Energienetze GmbH,1.0,5.0,6.0,30.0,150.0,180.0,,,,1.0,30.0,31.0,,,,,,
10002915,154da34f,Thüga Energienetze GmbH,Thüga Energienetze GmbH,10.0,0.0,10.0,20.0,0.0,20.0,,,,10.0,0.0,10.0,14.0,7.0,21.0,,,
10002917,0531bccf,REDINET Burgenland GmbH,REDINET Burgenland GmbH,15.0,60.0,75.0,40.0,365.0,405.0,,,,13.0,30.0,43.0,,,,,,
10002941,0b2d22e0,SachsenNetze GmbH,SachsenNetze GmbH,46.0,1.0,47.0,12.0,0.0,12.0,,,,,,,,,,,,
10002953,08dc392a,BTT Bauteam Tretzel GmbH,BTT Bauteam Tretzel GmbH,,,,,,,,,,30.0,60.0,90.0,,,,,,
10002954,4bb53a78,EWR Netz GmbH,EWR Netz GmbH,7.0,75.0,82.0,49.0,92.0,141.0,,,,38.0,180.0,218.0,44.0,180.0,224.0,,,
10002962,31a817c1,Stadtwerke Arnstadt Netz GmbH & Co. KG,Stadtwerke Arnstadt Netz GmbH & Co. KG,14.0,,14.0,28.0,,28.0,,,,14.0,,14.0,28.0,,28.0,,,
10002966,5c4d5f81,enercity Netz GmbH,enercity Netz GmbH,6.0,20.0,26.0,6.0,20.0,26.0,92.0,0.0,92.0,35.0,10.0,45.0,5.0,225.0,230.0,94.0,0.0,94.0
10002974,90c2e6f9,Netze ODR GmbH,Netze ODR GmbH,24.0,87.0,111.0,55.0,,55.0,,,,,,,,,,,,
10002977,7c17e8a8,TWL Netze GmbH,TWL Netze GmbH,11.0,20.0,31.0,34.0,150.0,184.0,,,,11.0,20.0,31.0,25.0,150.0,175.0,,,
10002990,7154c434,Stadtwerke Nordfriesland - Netz GmbH,Stadtwerke Nordfriesland - Netz GmbH,14.0,21.0,35.0,,,,,,,,,,,,,,,
10002992,cf4b1c8f,Pfalzwerke Netz AG,Pfalzwerke Netz AG,20.0,122.0,142.0,42.0,130.0,172.0,,,,1.0,1.0,2.0,15.0,75.0,90.0,15.0,0.0,15.0
10002996,9cf5c994,Stadtwerke Bad Bramstedt Netz GmbH,Stadtwerke Bad Bramstedt Netz GmbH,,,,,,,,,,,,,,,,,,
