bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018
10001129,c3c42bd8,Stadtwerke Landshut,Stadtwerke Landshut,84.0,28.0,112.0,84.0,180.0,264.0,,,,14.0,14.0,28.0,,,,,,
10001133,b1c857af,Gebrüder Miller GmbH und Co. KG,"Gebrüder Miller, Elektrizitäts- versorgung GmbH & Co. KG",18.0,18.0,36.0,,,,,,,7.0,7.0,14.0,,,,,,
10001135,8eb2621e,Stadtwerke Lutherstadt Eisleben GmbH,Stadtwerke Lutherstadt Eisleben GmbH,30.0,30.0,60.0,60.0,180.0,240.0,,,,30.0,60.0,90.0,45.0,45.0,90.0,,,
10001137,f082cbcc,Stadtwerke Emmendingen GmbH,Stadtwerke Emmendingen GmbH,10.0,,10.0,20.0,,20.0,,,,,,,,,,,,
10001140,0cc551f2,Stadtwerke Grünstadt GmbH,Stadtwerke Grünstadt GmbH,30.0,120.0,150.0,120.0,180.0,300.0,,,,30.0,30.0,60.0,120.0,180.0,300.0,,,
10001142,f5e386b4,Stadtwerke Haltern am See GmbH,Stadtwerke Haltern am See GmbH,14.0,0.0,14.0,52.0,0.0,52.0,,,,7.0,0.0,7.0,,,,,,
10001144,c0248368,Energie- und Wasserversorgung Bruchsal GmbH,Energie- und Wasserversorgung Bruchsal GmbH,10.0,20.0,30.0,30.0,220.0,250.0,,,,15.0,30.0,45.0,45.0,250.0,295.0,,,
10001152,7e9dfbce,Stadtwerke Hilden GmbH,Stadtwerke Hilden GmbH,7.0,7.0,14.0,14.0,30.0,44.0,,,,10.0,10.0,20.0,,,,,,
10001156,7989affc,STADTWERKE EICHSTÄTT VERSORGUNGS-GMBH,Stadtwerke Eichstätt Versorgungs-GmbH,60.0,30.0,90.0,,,,,,,60.0,30.0,90.0,,,,,,
10001159,129ff5c3,Städtische Werke Lauf a.d. Pegnitz GmbH,StWL Städtische Werke Lauf a.d. Pegnitz GmbH,13.0,1.0,14.0,,,,,,,13.0,4.0,17.0,13.0,200.0,213.0,,,
10001161,7a340e36,Meißener Stadtwerke GmbH,Meißener Stadtwerke GmbH,25.0,40.0,65.0,56.0,180.0,236.0,,,,25.0,40.0,65.0,,,,,,
10001164,6c57faf3,Stromversorgung Neunkirchen GmbH,Stromversorgung Neunkirchen GmbH,13.0,1.0,14.0,,,,,,,13.0,4.0,17.0,,,,,,
10001177,ed24a778,LEW Verteilnetz GmbH,LEW Verteilnetz GmbH,9.0,10.0,19.0,115.0,237.0,352.0,148.0,,148.0,8.0,3.0,11.0,,,,,,
10001180,150a4856,HALBERSTADTWERKE GmbH,Halberstadtwerke GmbH,34.0,143.0,177.0,14.0,200.0,214.0,,,,18.0,24.0,42.0,28.0,34.0,62.0,,,
10001183,fd691e8a,Stadtwerke Soest GmbH,Stadtwerke Soest GmbH,14.0,100.0,114.0,200.0,400.0,600.0,,,,,,,200.0,400.0,600.0,,,
10001185,3c279b27,Stadtwerke Schramberg GmbH & Co. KG,Stadtwerke Schramberg GmbH & Co. KG,21.0,90.0,111.0,60.0,220.0,280.0,,,,20.0,90.0,110.0,60.0,120.0,180.0,,,
10001188,fae303fc,Stadtwerke Schifferstadt,Stadtwerke Schifferstadt,7.0,17.0,24.0,,,,,,,7.0,17.0,24.0,,,,,,
10001189,b47684ca,VWG Versorgungsbetrieb Waldbüttelbrunn GmbH,Versorgungsbetrieb Waldbüttelbrunn GmbH,10.0,16.0,26.0,10.0,16.0,26.0,,,,10.0,16.0,26.0,,,,,,
10001190,00b6a217,Stromversorgung Angermünde GmbH,Stromversorgung Angermünde GmbH,30.0,30.0,60.0,50.0,80.0,130.0,,,,14.0,45.0,59.0,60.0,80.0,140.0,,,
10001194,eec02fb6,Stadtwerke Bernau GmbH,Stadtwerke Bernau GmbH,30.0,90.0,120.0,28.0,84.0,112.0,,,,60.0,90.0,150.0,30.0,365.0,395.0,,,
10001196,05274f9f,Bielefelder Netz GmbH,Bielefelder Netz GmbH,,,,,,,,,,,,,,,,25.0,0.0,25.0
10001198,84c2fd0f,Stadtwerke Buxtehude GmbH,Stadtwerke Buxtehude GmbH,7.0,28.0,35.0,10.0,90.0,100.0,,,,7.0,7.0,14.0,10.0,30.0,40.0,,,
10001204,044f9b91,Stadtwerke Elbtal GmbH,Stadtwerke Elbtal GmbH,47.0,0.0,47.0,1.0,24.0,25.0,,,,,,,,,,,,
10001206,7abeee53,Stadtwerke Goch GmbH,Stadtwerke Goch GmbH,12.0,50.0,62.0,,,,,,,5.0,5.0,10.0,,,,,,
10001208,e2133912,Stadtwerke Hockenheim,Stadtwerke Hockenheim,7.0,105.0,112.0,28.0,365.0,393.0,,,,7.0,15.0,22.0,,,,,,
10001210,12f2e228,abita Energie Otterberg GmbH,abita Energie Otterberg GmbH,30.0,0.0,30.0,,,,,,,14.0,42.0,56.0,,,,,,
10001212,e6963d6e,Stadtwerke Radevormwald GmbH,Stadtwerke Radevormwald GmbH,20.0,30.0,50.0,20.0,35.0,55.0,,,,,,,,,,,,
10001214,87bbc060,Stadtwerke Schönebeck GmbH,Stadtwerke Schönebeck GmbH - SWS -,49.0,28.0,77.0,56.0,365.0,421.0,,,,28.0,28.0,56.0,49.0,56.0,105.0,,,
10001215,69780df3,Elektrizitätswerk Oberwössen eG,Elektrizitätswerk Oberwössen e.G.,10.0,25.0,35.0,,,,,,,,,,,,,,,
10001216,225494f0,Stadtwerke Schüttorf - Emsbüren GmbH,Stadtwerke Schüttorf - Emsbüren GmbH,12.0,35.0,47.0,16.0,90.0,106.0,,,,,,,,,,,,
10001221,c3331482,E-Werk Wanfried von Scharfenberg GmbH & Co. KG,E-Werk Wanfried von Scharfenberg GmbH & Co. KG,14.0,42.0,56.0,,,,,,,14.0,90.0,104.0,,,,,,
10001223,d8303d91,Elektrizitäts-Genossenschaft Tacherting-Feichten eG,Elektrizitäts-Genossenschaft Tacherting-Feichten eG,10.0,56.0,66.0,,,,,,,10.0,56.0,66.0,,,,,,
10001232,dd523568,Stadtwerke Weißenburg GmbH,STADTWERKE WEISSENBURG GmbH,30.0,100.0,130.0,,,,,,,30.0,100.0,130.0,,,,,,
10001244,b283205d,Energie und Wasserversorgung Aktiengesellschaft Kamenz,ewag kamenz Energie und Wasserversorgung AG Kamenz,9.0,0.0,9.0,,,,,,,5.0,0.0,5.0,,,,,,
10001248,6cdf5bd3,Celle-Uelzen Netz GmbH,Celle-Uelzen Netz GmbH,5.0,1.0,6.0,60.0,500.0,560.0,,,,1.0,52.0,53.0,60.0,500.0,560.0,,,
10001252,ffbdc6a7,Stadtwerke Werdau GmbH,Stadtwerke Werdau GmbH,10.0,20.0,30.0,35.0,160.0,195.0,,,,11.0,30.0,41.0,27.0,0.0,27.0,,,
10001254,74326e4e,Stadtwerke Ulm/Neu-Ulm Netze GmbH,Stadtwerke Ulm/Neu-Ulm Netze GmbH,20.0,14.0,34.0,,,,,,,15.0,20.0,35.0,,,,,,
10001258,ad952b79,Stadtwerke Zirndorf GmbH,Stadtwerke Zirndorf GmbH,5.0,5.0,10.0,,,,,,,5.0,5.0,10.0,,,,,,
10001261,075eb384,Stadtwerke Clausthal-Zellerfeld GmbH,Stadtwerke Clausthal-Zellerfeld GmbH,7.0,10.0,17.0,,,,,,,5.0,0.0,5.0,,,,,,
10001265,dcdc388a,"TauberEnergie Kuhn, Karl und Andreas Kuhn OHG","TauberEnergie Kuhn, Karl und Andreas Kuhn OHG",14.0,41.0,55.0,,,,,,,,,,,,,,,
10001268,10b3c372,Energieversorgung Sylt GmbH,Energieversorgung Sylt GmbH,7.0,7.0,14.0,,,,,,,14.0,14.0,28.0,14.0,14.0,28.0,,,
10001273,b04a31fe,Elektrizitätsversorgungsunternehmen (EVU) der Gemeinde Gochsheim,EVU der Gemeinde Gochsheim,18.0,5.0,23.0,25.0,40.0,65.0,,,,3.0,8.0,11.0,,,,,,
