bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064
10000052,d0a567cf,Elektrizitätswerk Rohmund GmbH,Elektrizitätswerk Rohmund GmbH,37.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,37.0,0.8919,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,6.0,5.0,3.0,0.0,0.0,8.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000053,a54715ad,Gemeindewerke Kiefersfelden Strom- Gas- und Wasserversorgung,Gemeindewerke Kiefersfelden,94.0,0.0,0.0,74.0,22.0,0.0,0.0,96.0,94.0,1.0213,,,,,,,,,,,,,,,,,,,,,13.0,0.0,74.0,1.0,88.0,0.0,0.0,0.0,88.0,88.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000055,fbcfb88f,Elektrizitätswerk Hindelang eG,Elektrizitätswerk Hindelang eG,55.0,0.0,0.0,53.0,2.0,,,55.0,55.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,3.0,43.0,6.0,49.0,8.0,2.0,,59.0,59.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000057,d8c5eb6e,Gemeindewerke Ebersdorf,Gemeindewerke Ebersdorf,95.0,0.0,0.0,0.0,95.0,0.0,0.0,95.0,95.0,1.0,,,,,,,,,,,,,,,,,,,,,12.0,0.0,38.0,5.0,0.0,55.0,0.0,0.0,55.0,55.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000058,a53476d7,Stadtwerke Germersheim GmbH,Stadtwerke Germersheim GmbH,85.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,85.0,0.6824,,,,,,,,,,,,,,,,,,,,,14.0,0.0,56.0,9.0,43.0,24.0,0.0,0.0,67.0,79.0,0.8481,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.4,,,,,,,,,,,
10000060,a172a8b0,Stadtwerke Schorndorf GmbH,Stadtwerke Schorndorf GmbH,281.0,0.0,0.0,248.0,28.0,,,276.0,281.0,0.9822,,,,,,,,,,,,,,,,,,,,,46.0,0.0,167.0,,175.0,33.0,5.0,0.0,213.0,213.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000062,3b54c115,Gemeindewerke Steißlingen,Gemeindewerke Steißlingen,83.0,0.0,0.0,62.0,18.0,3.0,0.0,83.0,83.0,1.0,,,,,,,,,,,,,,,,,,,,,10.0,0.0,66.0,20.0,86.0,8.0,2.0,0.0,96.0,96.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000065,45b20ace,Stadtwerke Versmold GmbH,Stadtwerke Versmold GmbH,195.0,0.0,0.0,123.0,70.0,0.0,3.0,196.0,195.0,1.0051,,,,,,,,,,,,,,,,,,,,,33.0,0.0,170.0,28.0,192.0,0.0,3.0,0.0,195.0,231.0,0.8442,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,4.0,0.75,,,,,,,,,,,
10000075,5a194082,Stadtwerke Bliestal GmbH,Stadtwerke Bliestal GmbH,107.0,0.0,0.0,20.0,77.0,9.0,1.0,107.0,107.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,,,,,,,,,,,30.0,5.0,73.0,34.0,28.0,104.0,10.0,0.0,142.0,142.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000080,29280743,Stadtwerke Gengenbach,Stadtwerke Gengenbach -Versorgungsbetriebe-,26.0,,,0.0,26.0,0.0,0.0,26.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,0.0,12.0,10.0,27.0,0.0,0.0,0.0,27.0,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000085,cc5c918a,Gemeindewerke Peißenberg KU,Kommunalunternehmen Gemeindewerke Peißenberg,215.0,0.0,0.0,200.0,5.0,0.0,0.0,205.0,215.0,0.9535,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000086,1d2296b6,Stadtwerke Malchow,Stadtwerke Malchow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000091,7540fe48,Getreidemühle Zwiefalten eG,Getreidemühle Zwiefalten eG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,3.0,11.0,0.2727,,,,,,,,,,,,,,,,,,,,,,,
10000096,82ff6e18,Stadtwerke Sulzbach/Saar GmbH,Stadtwerke Sulzbach/Saar GmbH,502.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,504.0,0.0079,7.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,0.2857,,,,,,,,,,,86.0,0.0,72.0,10.0,1.0,1.0,1.0,1.0,4.0,168.0,0.0238,,,,,,,,,,,,,,,,,,,,,,,
10000098,921ffcf6,Stadtwerke Wernigerode GmbH,Stadtwerke Wernigerode GmbH,308.0,0.0,0.0,139.0,169.0,0.0,0.0,308.0,308.0,1.0,,,,,,,,,,,,,,,,,,,,,30.0,0.0,123.0,15.0,42.0,126.0,0.0,0.0,168.0,168.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000100,e967c000,Licht- und Kraftwerke Sonneberg GmbH,Licht- und Kraftwerke Sonneberg GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,84.0,15.0,24.0,0.0,0.0,0.0,24.0,119.0,0.2017,,,,,,,,,,,,,,,,,,,,,,,
10000109,80ad5a12,Stadtwerke Burgbernheim,Stadt Burgbernheim - Stadtwerke,54.0,0.0,0.0,20.0,30.0,4.0,,54.0,54.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,,48.0,3.0,3.0,2.0,3.0,,8.0,58.0,0.1379,,,,,,,,,,,,,,,,,,,,,,,
10000110,00751f64,Stadtwerke Schweinfurt GmbH,Stadtwerke Schweinfurt GmbH,772.0,0.0,0.0,0.0,525.0,130.0,0.0,655.0,772.0,0.8484,,,,,,,,,,,,,,,,,,,,,31.0,17.0,372.0,17.0,0.0,8.0,2.0,0.0,10.0,437.0,0.0229,0.0,8.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,5.0,9.0,0.5556,,,,,,,,,,,
10000118,8818350c,Elektrizitäts-Genossenschaft Röthenbach eG,Elektrizitäts-Genossenschaft Röthenbach eG,137.0,0.0,0.0,69.0,68.0,0.0,0.0,137.0,137.0,1.0,,,,,,,,,,,,,,,,,,,,,13.0,0.0,86.0,12.0,56.0,55.0,0.0,0.0,111.0,111.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000120,a4cc54ef,Stadtwerke Stein GmbH & Co. KG,Stadtwerke Stein GmbH & Co. KG,107.0,0.0,0.0,0.0,107.0,0.0,0.0,107.0,107.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,0.0,95.0,10.0,0.0,112.0,0.0,0.0,112.0,112.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000126,f43efe4a,Elektrizitätswerk Stern KG Bad Endorf,Elektrizitätswerk Stern KG Bad Endorf,179.0,0.0,0.0,7.0,159.0,13.0,0.0,179.0,179.0,1.0,,,,,,,,,,,,,,,,,,,,,23.0,0.0,69.0,12.0,0.0,104.0,0.0,0.0,104.0,104.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000127,23943550,EWR GmbH,EWR GmbH,857.0,0.0,0.0,110.0,690.0,50.0,7.0,857.0,857.0,1.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000140,4d4b1fb0,Vereinigte Wertach-Elektrizitätswerke GmbH,Vereinigte Wertach-Elektrizitätswerke GmbH,570.0,0.0,0.0,10.0,84.0,16.0,0.0,110.0,570.0,0.193,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0833,,,,,,,,,,,137.0,111.0,415.0,67.0,0.0,90.0,19.0,0.0,109.0,730.0,0.1493,,,,,,,,,,,,,,,,,,,,,,,
10000141,6fd3798d,Stadtwerke Altdorf GmbH,Stadtwerke Altdorf GmbH,186.0,0.0,0.0,186.0,,,,186.0,186.0,1.0,,,,,,,,,,,,,,,,,,,,,24.0,0.0,144.0,27.0,195.0,,,,195.0,195.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000148,c353bbe3,Stadtwerke Elmshorn,Stadtwerke Elmshorn,652.0,0.0,0.0,450.0,202.0,0.0,0.0,652.0,652.0,1.0,,,,,,,,,,,,,,,,,,,,,152.0,0.0,262.0,113.0,527.0,,,,527.0,527.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000150,7e858469,Überlandwerk Leinetal GmbH,Überlandwerk Leinetal GmbH,659.0,0.0,0.0,41.0,481.0,136.0,0.0,658.0,659.0,0.9985,,,,,,,,,,,,,,,,,,,,,55.0,,142.0,27.0,163.0,51.0,2.0,,216.0,224.0,0.9643,,,,,,,,,,,,,,,,,,,,,,,
10000151,ceacdb13,Stadtwerke Eckernförde GmbH,Stadtwerke Eckernförde GmbH,160.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,160.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,50.0,143.0,7.0,165.0,42.0,0.0,,207.0,207.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0,1.0,,,,,,,,,,,
10000154,cfee4890,Stadtwerke Fellbach GmbH,Stadtwerke Fellbach GmbH,297.0,0.0,0.0,250.0,47.0,0.0,0.0,297.0,297.0,1.0,,,,,,,,,,,,,,,,,,,,,30.0,70.0,370.0,184.0,20.0,50.0,0.0,0.0,70.0,654.0,0.107,,,,,,,,,,,,,,,,,,,,,,,
10000156,f0e71d8c,Stadtwerke Bad Windsheim,Stadtwerke Bad Windsheim,124.0,0.0,0.0,,107.0,,,107.0,124.0,0.8629,,,,,,,,,,,,,,,,,,,,,5.0,0.0,62.0,8.0,,66.0,,,66.0,75.0,0.88,,,,,,,,,,,,,,,,,,,,,,,
10000158,2eefcd70,Stadtwerke Greven GmbH,Stadtwerke Greven GmbH,660.0,0.0,0.0,655.0,5.0,0.0,0.0,660.0,660.0,1.0,10.0,0.0,0.0,0.0,6.0,3.0,1.0,10.0,10.0,1.0,,,,,,,,,,,56.0,0.0,344.0,49.0,,355.0,99.0,,454.0,449.0,1.0111,0.0,4.0,0.0,3.0,0.0,,,,4.0,4.0,7.0,0.5714,,,,,,,,,,,
10000160,9151b263,Stadtwerke Gronau GmbH,Stadtwerke Gronau GmbH,585.0,0.0,0.0,580.0,5.0,0.0,0.0,585.0,585.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0,1.0,,,,,,,,,,,86.0,0.0,330.0,19.0,435.0,0.0,0.0,0.0,435.0,435.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000161,7697d66d,Stadtwerke Pirmasens Versorgungs GmbH,Stadtwerke Pirmasens Versorgungs GmbH,144.0,0.0,0.0,100.0,44.0,0.0,0.0,144.0,144.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,1.0,,,,,,,,,,,40.0,0.0,135.0,90.0,200.0,65.0,0.0,0.0,265.0,265.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000163,fdd76ee8,Stadtwerke Schwedt GmbH,Stadtwerke Schwedt GmbH,203.0,0.0,0.0,203.0,0.0,0.0,0.0,203.0,203.0,1.0,9.0,1.0,0.0,0.0,9.0,0.0,0.0,9.0,10.0,0.9,,,,,,,,,,,11.0,0.0,96.0,6.0,113.0,0.0,0.0,0.0,113.0,113.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,0.75,,,,,,,,,,,
10000167,5830133f,Überlandwerk Erding GmbH & Co. KG,Überlandwerk Erding GmbH & Co. KG,558.0,0.0,0.0,450.0,50.0,7.0,0.0,507.0,558.0,0.9086,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,,,,,,,,,,,55.0,124.0,311.0,56.0,400.0,40.0,6.0,0.0,446.0,546.0,0.8168,,,,,,,,,,,,,,,,,,,,,,,
10000169,f4389f99,gemeinsames Kommunalunternehmen Oberes Egertal,gemeinsames Kommunalunternehmen oberes Egertal,13.0,,,10.0,3.0,,,13.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,10.0,,8.0,5.0,10.0,5.0,,,15.0,23.0,0.6522,,,,,,,,,,,,,,,,,,,,,,,
10000172,5d9788fe,Stadtwerke Wolfenbüttel GmbH,Stadtwerke Wolfenbüttel GmbH,409.0,0.0,0.0,0.0,409.0,0.0,0.0,409.0,409.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0,0.0,4.0,35.0,0.0,40.0,5.0,0.0,45.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000173,d63dc997,Stadtwerke Teterow GmbH,Stadtwerke Teterow GmbH,34.0,0.0,0.0,,34.0,,0.0,34.0,34.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,0.0,29.0,5.0,20.0,17.0,4.0,0.0,41.0,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000178,232bcc13,Gemeindewerke Cadolzburg,Gemeindewerke Cadolzburg,97.0,0.0,0.0,0.0,97.0,0.0,0.0,97.0,97.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,80.0,7.0,0.0,21.0,0.0,0.0,21.0,88.0,0.2386,,,,,,,,,,,,,,,,,,,,,,,
10000179,fd396b21,Stadtwerke Mühlheim am Main GmbH,Stadtwerke Mühlheim am Main GmbH,264.0,0.0,0.0,210.0,52.0,1.0,1.0,264.0,264.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,170.0,134.0,22.0,208.0,52.0,0.0,0.0,260.0,326.0,0.7975,,,,,,,,,,,,,,,,,,,,,,,
10000180,a104598c,Stadtwerke Rothenburg o.d.T. GmbH,Stadtwerke Rothenburg o.d.T. GmbH,64.0,0.0,1.0,64.0,0.0,0.0,0.0,64.0,65.0,0.9846,,,,,,,,,,,,,,,,,,,,,27.0,4.0,42.0,24.0,51.0,0.0,0.0,0.0,51.0,97.0,0.5258,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,,,,,,,,,,,
10000184,afbe8b1b,Stadtwerke Bad Salzuflen GmbH,Stadtwerke Bad Salzuflen GmbH,580.0,0.0,0.0,38.0,179.0,206.0,0.0,423.0,580.0,0.7293,8.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,8.0,1.0,,,,,,,,,,,71.0,2.0,301.0,55.0,38.0,181.0,93.0,0.0,312.0,429.0,0.7273,,,,,,,,,,,,,,,,,,,,,,,
10000185,ecf96df1,Energieversorgung Selb-Marktredwitz GmbH,Energieversorgung Selb-Marktredwitz GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000191,5d17d37a,Energie- und Wasserversorgung Rheine GmbH,Energie- und Wasserversorgung Rheine GmbH,741.0,0.0,0.0,209.0,279.0,139.0,0.0,627.0,741.0,0.8462,17.0,0.0,0.0,0.0,2.0,5.0,5.0,12.0,17.0,0.7059,,,,,,,,,,,128.0,0.0,620.0,663.0,0.0,217.0,0.0,0.0,217.0,1411.0,0.1538,,,,,,,,,,,,,,,,,,,,,,,
10000192,bfe14be8,Stadtwerke Roth,Stadtwerke Roth,215.0,,,112.0,43.0,59.0,1.0,215.0,215.0,1.0,,,,,,,,,,,,,,,,,,,,,43.0,,54.0,184.0,5.0,30.0,6.0,2.0,43.0,281.0,0.153,,,,,,,,,,,,,,,,,,,,,,,
10000195,6bbfb14d,Energieversorgung Lohr-Karlstadt und Umgebung GmbH & Co. KG,Energieversorgung Lohr-Karlstadt und Umgebung GmbH & Co. KG,574.0,,,49.0,161.0,31.0,0.0,241.0,574.0,0.4199,3.0,,,0.0,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,,,,,,99.0,12.0,409.0,74.0,71.0,137.0,15.0,,223.0,594.0,0.3754,,,,,,,,,,,,,,,,,,,,,,,
10000200,b8442920,Stadtwerke Schkeuditz GmbH,Stadtwerke Schkeuditz GmbH,237.0,0.0,0.0,43.0,167.0,29.0,0.0,239.0,237.0,1.0084,,,,,,,,,,,,,,,,,,,,,9.0,3.0,108.0,53.0,53.0,80.0,33.0,0.0,166.0,173.0,0.9595,,,,,,,,,,,,,,,,,,,,,,,
10000202,9acab451,infra fürth GmbH,infra fürth gmbh,470.0,0.0,0.0,5.0,61.0,26.0,13.0,105.0,470.0,0.2234,7.0,0.0,0.0,1.0,0.0,6.0,0.0,7.0,7.0,1.0,,,,,,,,,,,40.0,690.0,100.0,93.0,5.0,61.0,26.0,13.0,105.0,923.0,0.1138,0.0,13.0,3.0,1.0,0.0,1.0,0.0,6.0,0.0,7.0,17.0,0.4118,,,,,,,,,,,
10000206,53681f79,Stadtwerke Werl GmbH,Stadtwerke Werl GmbH,259.0,0.0,0.0,13.0,194.0,52.0,0.0,259.0,259.0,1.0,8.0,4.0,0.0,0.0,0.0,7.0,1.0,8.0,12.0,0.6667,,,,,,,,,,,16.0,0.0,10.0,15.0,2.0,23.0,6.0,0.0,31.0,41.0,0.7561,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,1.0,,,,,,,,,,,
10000211,1fe7c618,Stadtwerke Zeil a. Main,Stadtwerke Zeil a. Main,58.0,0.0,0.0,0.0,58.0,0.0,0.0,58.0,58.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,0.0,48.0,6.0,0.0,48.0,0.0,0.0,48.0,61.0,0.7869,,,,,,,,,,,,,,,,,,,,,,,
10000212,a568e13a,Stadtwerke Geesthacht GmbH,Stadtwerke Geesthacht GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.0,169.0,40.0,251.0,0.0,0.0,0.0,251.0,251.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000214,0e81006a,Stadtwerke Homburg GmbH,Stadtwerke Homburg GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000216,ebfefbb1,Stadtwerke Hemau,Stadtwerke Hemau,93.0,0.0,0.0,93.0,0.0,0.0,0.0,93.0,93.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,65.0,2.0,67.0,0.0,0.0,0.0,67.0,67.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000217,4433d30c,Stadtwerke Emden GmbH,Stadtwerke Emden GmbH,258.0,0.0,0.0,0.0,200.0,74.0,0.0,274.0,258.0,1.062,,,,,,,,,,,,,,,,,,,,,60.0,0.0,223.0,20.0,32.0,248.0,19.0,4.0,303.0,303.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000219,017bb48c,Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH,Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH,483.0,0.0,0.0,121.0,217.0,145.0,0.0,483.0,483.0,1.0,,,,,,,,,,,,,,,,,,,,,72.0,0.0,413.0,876.0,18.0,32.0,22.0,0.0,72.0,1361.0,0.0529,0.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,3.0,4.0,9.0,0.4444,,,,,,,,,,,
10000221,5cba554d,Elektrizitätswerk Diessen Stadler GmbH,Elektrizitätswerk Dießen Stadler GmbH,6.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,6.0,0.5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000223,eca27542,Energieversorgung Südbaar GmbH & Co. KG,Energieversorgung Südbaar GmbH & Co. KG,288.0,0.0,0.0,275.0,0.0,0.0,0.0,275.0,288.0,0.9549,48.0,1.0,5.0,0.0,23.0,0.0,0.0,23.0,54.0,0.4259,,,,,,,,,,,49.0,16.0,212.0,60.0,325.0,0.0,0.0,0.0,325.0,337.0,0.9644,,,,,,,,,,,,,,,,,,,,,,,
10000227,09574852,Stadtwerke Reichenbach/Vogtl. GmbH,Stadtwerke Reichenbach/Vogtland GmbH,86.0,0.0,0.0,70.0,10.0,6.0,0.0,86.0,86.0,1.0,,,,,,,,,,,,,,,,,,,,,9.0,20.0,34.0,13.0,35.0,22.0,19.0,0.0,76.0,76.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000229,65e432ca,E-Werk Buchauer,E-Werk Rupert Buchauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000231,5b19afad,Gemeindewerke Partenstein,Gemeindewerke Partenstein,50.0,0.0,0.0,30.0,20.0,0.0,0.0,50.0,50.0,1.0,,,,,,,,,,,,,,,,,,,,,8.0,0.0,16.0,4.0,20.0,8.0,0.0,0.0,28.0,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000239,3b60fe20,Gemeindewerke Grefrath GmbH,Gemeindewerke Grefrath GmbH,1208.0,0.0,1.0,30.0,154.0,62.0,12.0,258.0,1209.0,0.2134,14.0,3.0,5.0,10.0,6.0,6.0,2.0,24.0,22.0,1.0909,,,,,,,,,,,35.0,5.0,100.0,23.0,140.0,18.0,3.0,2.0,163.0,163.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000241,5fc63e19,Stadtwerke Hof Energie+Wasser GmbH,Stadtwerke Hof Energie+Wasser GmbH,693.0,0.0,0.0,119.0,562.0,12.0,0.0,693.0,693.0,1.0,,,,,,,,,,,,,,,,,,,,,88.0,83.0,362.0,68.0,41.0,81.0,13.0,6.0,141.0,601.0,0.2346,0.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,7.0,7.0,1.0,,,,,,,,,,,
10000245,da92183a,Stadtwerke Altensteig,Stadtwerke Altensteig,140.0,0.0,6.0,146.0,0.0,0.0,0.0,146.0,146.0,1.0,,,,,,,,,,,,,,,,,,,,,23.0,0.0,78.0,19.0,120.0,0.0,0.0,0.0,120.0,120.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000246,e1717ed4,Maintal-Werke GmbH,Maintal-Werke-GmbH - Stadtwerke der Stadt Maintal,289.0,0.0,1.0,290.0,0.0,0.0,0.0,290.0,290.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,1.0,,,,,,,,,,,44.0,24.0,146.0,9.0,202.0,5.0,12.0,4.0,223.0,223.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000248,5fd9fa79,Stadtwerke Ansbach GmbH,Stadtwerke Ansbach GmbH,511.0,0.0,5.0,161.0,350.0,0.0,0.0,511.0,516.0,0.9903,57.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,58.0,0.1034,,,,,,,,,,,150.0,0.0,939.0,0.0,939.0,0.0,0.0,0.0,939.0,1089.0,0.8623,,,,,,,,,,,,,,,,,,,,,,,
10000253,b15584c8,Stadtwerke Bad Bergzabern GmbH,Stadtwerke Bad Bergzabern GmbH,60.0,0.0,0.0,45.0,15.0,0.0,0.0,60.0,60.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,0.0,48.0,1.0,26.0,0.0,0.0,0.0,26.0,53.0,0.4906,,,,,,,,,,,,,,,,,,,,,,,
10000255,9c23191b,Stadtwerke Baiersdorf KU,Stadtwerke Baiersdorf KU,105.0,0.0,0.0,83.0,19.0,3.0,0.0,105.0,105.0,1.0,,,,,,,,,,,,,,,,,,,,,13.0,0.0,78.0,10.0,69.0,8.0,1.0,0.0,78.0,101.0,0.7723,,,,,,,,,,,,,,,,,,,,,,,
10000257,16d44b9c,Stadtwerke Engen GmbH,Stadtwerke Engen GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.0,75.0,4.0,100.0,8.0,0.0,0.0,108.0,108.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000259,86e2806c,Gemeindewerke Schutterwald,Gemeindewerke Schutterwald (GWS),84.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,84.0,0.3571,,,,,,,,,,,,,,,,,,,,,4.0,0.0,95.0,16.0,30.0,0.0,0.0,0.0,30.0,115.0,0.2609,,,,,,,,,,,,,,,,,,,,,,,
10000265,8bc7a2f7,Stadtwerke Lambrecht (Pfalz) GmbH,Stadtwerke Lambrecht (Pfalz) GmbH,42.0,0.0,0.0,13.0,15.0,9.0,3.0,40.0,42.0,0.9524,,,,,,,,,,,,,,,,,,,,,4.0,0.0,23.0,9.0,19.0,13.0,4.0,0.0,36.0,36.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000269,66c26f4f,Elektrizitätswerk Simbach GmbH,Elektrizitätswerk Simbach GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000270,6706516d,Stadtwerke Haldensleben GmbH,Stadtwerke Haldensleben GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000272,1b8a4503,Dessauer Stromversorgung GmbH,Dessauer Stromversorgung GmbH,500.0,0.0,0.0,300.0,200.0,0.0,0.0,500.0,500.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,,,,,,,,,,,45.0,0.0,0.0,125.0,5.0,64.0,0.0,0.0,69.0,170.0,0.4059,,,,,,,,,,,,,,,,,,,,,,,
10000275,f4bc81f7,Stadtwerke Neustadt a.d. Aisch GmbH,Stadtwerke Neustadt a.d. Aisch GmbH,109.0,,,109.0,,,,109.0,109.0,1.0,,,,,,,,,,,,,,,,,,,,,19.0,0.0,81.0,14.0,114.0,,,,114.0,114.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000279,b7e6f23a,Stadtwerke Lübz GmbH,Stadtwerke Lübz GmbH,21.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,21.0,0.2857,,,,,,,,,,,,,,,,,,,,,4.0,0.0,24.0,2.0,0.0,6.0,0.0,0.0,6.0,30.0,0.2,,,,,,,,,,,,,,,,,,,,,,,
10000281,a8185b4a,Versorgungsbetriebe Zellingen,Versorgungsbetriebe Zellingen,93.0,,,8.0,22.0,1.0,,31.0,93.0,0.3333,,,,,,,,,,,,,,,,,,,,,13.0,4.0,61.0,6.0,3.0,13.0,2.0,,18.0,84.0,0.2143,,,,,,,,,,,,,,,,,,,,,,,
10000283,6a99064b,Überlandwerk Rhön GmbH,Überlandwerk Rhön GmbH,1200.0,0.0,3.0,300.0,850.0,50.0,0.0,1200.0,1203.0,0.9975,13.0,0.0,3.0,0.0,1.0,3.0,5.0,9.0,16.0,0.5625,,,,,,,,,,,250.0,25.0,250.0,180.0,550.0,120.0,35.0,0.0,705.0,705.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,3.0,7.0,0.0,10.0,10.0,1.0,,,,,,,,,,,
