bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064
10010250,d67a051d,Stadtwerke Greifswald GmbH,Stadtwerke Greifswald GmbH,822.0,0.0,0.0,0.0,822.0,0.0,0.0,822.0,822.0,1.0,14.0,0.0,4.0,0.0,0.0,16.0,2.0,18.0,18.0,1.0,,,,,,,,,,,95.0,0.0,410.0,320.0,0.0,825.0,0.0,0.0,825.0,825.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10010461,bb0cbfbb,Avacon Netz GmbH,Avacon Netz GmbH,36651.0,3.0,4.0,14226.0,13401.0,2633.0,336.0,30596.0,36658.0,0.8346,609.0,109.0,5.0,0.0,5.0,6.0,0.0,11.0,723.0,0.0152,623.0,3068.0,0.0,2.0,11.0,0.0,0.0,13.0,3691.0,0.0035,2883.0,1391.0,16450.0,2682.0,8355.0,4742.0,866.0,2.0,13965.0,23406.0,0.5966,0.0,34.0,0.0,214.0,0.0,1.0,1.0,0.0,0.0,2.0,248.0,0.0081,6.0,0.0,805.0,0.0,1.0,1.0,1.0,7.0,10.0,811.0,0.0123
10010463,2f181aba,Bayernwerk Netz GmbH,Bayernwerk Netz GmbH,84417.0,2.0,40.0,8533.0,33298.0,18865.0,793.0,61489.0,84459.0,0.728,1466.0,85.0,52.0,29.0,86.0,196.0,160.0,471.0,1603.0,0.2938,136.0,63.0,0.0,0.0,0.0,0.0,18.0,18.0,199.0,0.0905,12793.0,3120.0,45885.0,9910.0,9874.0,13176.0,7650.0,172.0,30872.0,71708.0,0.4305,1.0,69.0,2.0,387.0,4.0,13.0,29.0,7.0,1.0,50.0,463.0,0.108,0.0,0.0,135.0,0.0,0.0,1.0,0.0,1.0,2.0,135.0,0.0148
10010465,dc352e5b,E.DIS Netz GmbH,E.DIS Netz GmbH,29627.0,0.0,3.0,1799.0,9587.0,5268.0,0.0,16654.0,29630.0,0.5621,1412.0,88.0,27.0,5.0,30.0,44.0,0.0,79.0,1527.0,0.0517,789.0,518.0,0.0,6.0,6.0,63.0,0.0,75.0,1307.0,0.0574,3259.0,0.0,15147.0,4755.0,1002.0,673.0,262.0,6.0,1943.0,23161.0,0.0839,,93.0,0.0,274.0,0.0,0.0,0.0,15.0,352.0,367.0,367.0,1.0,3.0,63.0,513.0,0.0,0.0,0.0,0.0,579.0,579.0,579.0,1.0
10010580,a39794c0,Stadtwerke Jena Netze GmbH,Stadtwerke Jena Netze GmbH,836.0,0.0,0.0,550.0,53.0,0.0,0.0,603.0,836.0,0.7213,9.0,0.0,0.0,2.0,4.0,2.0,0.0,8.0,9.0,0.8889,,,,,,,,,,,153.0,399.0,515.0,98.0,1000.0,165.0,0.0,0.0,1165.0,1165.0,1.0,0.0,3.0,15.0,1.0,0.0,10.0,9.0,0.0,0.0,19.0,19.0,1.0,,,,,,,,,,,
10010678,27338a47,Stadtwerke Lehrte GmbH,Stadtwerke Lehrte GmbH,346.0,0.0,0.0,66.0,221.0,59.0,0.0,346.0,346.0,1.0,,,,,,,,,,,,,,,,,,,,,85.0,0.0,419.0,43.0,513.0,34.0,0.0,0.0,547.0,547.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10010846,8a827294,NordNetz GmbH,NordNetz GmbH,1143.0,0.0,0.0,313.0,162.0,93.0,3.0,571.0,1143.0,0.4996,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0556,,,,,,,,,,,194.0,5.0,579.0,109.0,258.0,162.0,84.0,2.0,506.0,887.0,0.5705,,,,,,,,,,,,,,,,,,,,,,,
10010880,3d800ccc,NHL Netzgesellschaft Heilbronner Land GmbH & Co. KG,NHL Netzgesellschaft Heilbronner Land GmbH & Co. KG,404.0,0.0,0.0,0.0,150.0,254.0,0.0,404.0,404.0,1.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,1.0,,,,,,,,,,,45.0,89.0,0.0,172.0,0.0,15.0,3.0,3.0,21.0,306.0,0.0686,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.5,,,,,,,,,,,
10010889,ffceee17,Stadtwerke Barmstedt,Stadtwerke Barmstedt,79.0,0.0,0.0,21.0,31.0,24.0,0.0,76.0,79.0,0.962,,,,,,,,,,,,,,,,,,,,,10.0,0.0,71.0,14.0,27.0,61.0,7.0,0.0,95.0,95.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10010973,a580b223,Weiler Wärme eG,Weiler Wärme eG,6.0,0.0,2.0,3.0,3.0,0.0,0.0,6.0,8.0,0.75,,,,,,,,,,,,,,,,,,,,,2.0,0.0,4.0,1.0,0.0,7.0,0.0,0.0,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10011049,25257f1f,Stadtwerke Steinfurt GmbH,Stadtwerke Steinfurt GmbH,429.0,0.0,0.0,361.0,63.0,7.0,0.0,431.0,429.0,1.0047,5.0,,,0.0,1.0,4.0,0.0,5.0,5.0,1.0,,,,,,,,,,,70.0,,392.0,120.0,1.0,47.0,19.0,0.0,67.0,582.0,0.1151,,,,,,,,,,,,,,,,,,,,,,,
10011050,ca72eaa3,EGC Infrastruktur und Netz GmbH,EGC Infrastruktur und Netz GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011102,e004133d,Stadtwerke Vlotho Stromnetz GmbH,Stadtwerke Vlotho Stromnetz GmbH,123.0,0.0,0.0,16.0,104.0,2.0,1.0,123.0,123.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011251,552d3d89,Stauferwerk GmbH & Co. KG,Stauferwerk GmbH & Co. KG,310.0,0.0,3.0,305.0,8.0,0.0,0.0,313.0,313.0,1.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1.0,,,,,,,,,,,10.0,0.0,11.0,10.0,30.0,1.0,0.0,0.0,31.0,31.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,1.0,,,,,,,,,,,
10011287,05bebe23,Stromnetz Pullach GmbH,Stromnetz Pullach GmbH,119.0,0.0,0.0,8.0,63.0,45.0,0.0,116.0,119.0,0.9748,,,,,,,,,,,,,,,,,,,,,24.0,16.0,94.0,4.0,17.0,24.0,12.0,0.0,53.0,138.0,0.3841,,,,,,,,,,,,,,,,,,,,,,,
10011288,ac41232f,AlzChem Netz GmbH,Alzchem Netz GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011303,ce10f3cf,Ahrtal-Werke GmbH,Ahrtal-Werke GmbH,229.0,0.0,0.0,0.0,229.0,,,229.0,229.0,1.0,,,,,,,,,,,,,,,,,,,,,63.0,0.0,194.0,12.0,0.0,269.0,,,269.0,269.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10011649,aef216a2,Stadtwerke Service Meerbusch Willich GmbH & Co. KG,Stadtwerke Service Meerbusch Willich GmbH & Co. KG,1086.0,,,,882.0,204.0,,1086.0,1086.0,1.0,1.0,2.0,,,1.0,2.0,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011666,ff0742fe,NETCUR GmbH,NETCUR GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011705,13389b6f,Outletcity AG,OUTLETCITY AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012047,6391ce99,Stuttgart Netze GmbH,Stuttgart Netze GmbH,1904.0,0.0,0.0,611.0,367.0,309.0,0.0,1287.0,1904.0,0.6759,60.0,0.0,0.0,1.0,2.0,10.0,0.0,13.0,60.0,0.2167,,,,,,,,,,,657.0,161.0,1477.0,363.0,1635.0,874.0,28.0,0.0,2537.0,2658.0,0.9545,0.0,28.0,0.0,2.0,1.0,0.0,5.0,24.0,0.0,29.0,31.0,0.9355,,,,,,,,,,,
10012048,5853d2ee,LeineNetz GmbH,LeineNetz GmbH,915.0,,,851.0,37.0,18.0,9.0,915.0,915.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.5,,,,,,,,,,,228.0,500.0,722.0,159.0,1109.0,500.0,0.0,0.0,1609.0,1609.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0,5.0,,7.0,8.0,0.875,,,,,,,,,,,
10012071,2d79f6a9,e-netz Südhessen AG,e-netz Südhessen AG,30117.0,5.0,3.0,5500.0,600.0,85.0,1.0,6186.0,30125.0,0.2053,477.0,13.0,13.0,0.0,3.0,8.0,8.0,19.0,503.0,0.0378,,,,,,,,,,,6643.0,0.0,8950.0,7171.0,100.0,6300.0,243.0,0.0,6643.0,22764.0,0.2918,,825.0,3.0,4.0,75.0,0.0,450.0,450.0,7.0,907.0,907.0,1.0,,,,,,,,,,,
10012181,4672af14,Stadtwerke Ditzingen GmbH & Co. KG,Stadtwerke Ditzingen GmbH & Co.KG,91.0,0.0,0.0,91.0,0.0,0.0,0.0,91.0,91.0,1.0,,,,,,,,,,,,,,,,,,,,,30.0,3.0,0.0,20.0,5.0,20.0,6.0,0.0,31.0,53.0,0.5849,,,,,,,,,,,,,,,,,,,,,,,
10012184,5ae23966,Blomberg Netz GmbH & Co. KG,Blomberg Netz GmbH & Co. KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012360,1165a224,Stadtwerke Elm-Lappwald GmbH,Stadtwerke Elm-Lappwald GmbH,439.0,0.0,0.0,22.0,66.0,220.0,132.0,440.0,439.0,1.0023,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,14.0,0.0,58.0,41.0,6.0,17.0,57.0,34.0,114.0,113.0,1.0088,,,,,,,,,,,,,,,,,,,,,,,
10012361,5cb0f674,SWTE Netz GmbH & Co. KG,SWTE Netz GmbH & Co. KG,1959.0,1.0,0.0,1800.0,140.0,20.0,0.0,1960.0,1960.0,1.0,105.0,4.0,1.0,80.0,5.0,1.0,1.0,87.0,110.0,0.7909,,,,,,,,,,,292.0,77.0,1566.0,755.0,1331.0,0.0,0.0,0.0,1331.0,2690.0,0.4948,0.0,10.0,12.0,7.0,1.0,3.0,2.0,0.0,0.0,5.0,30.0,0.1667,,,,,,,,,,,
10012372,b4a0bed2,Stadtwerke Olching Stromnetz GmbH & Co.KG,Stadtwerke Olching Stromnetz GmbH & Co. KG,224.0,0.0,0.0,24.0,135.0,54.0,1.0,214.0,224.0,0.9554,,,,,,,,,,,,,,,,,,,,,19.0,23.0,182.0,26.0,32.0,53.0,16.0,0.0,101.0,250.0,0.404,,,,,,,,,,,,,,,,,,,,,,,
10012373,98aa8d03,Stromnetz Weilheim GmbH & Co.KG,Stromnetz Weilheim GmbH & Co. KG,284.0,0.0,0.0,35.0,121.0,62.0,0.0,218.0,284.0,0.7676,,,,,,,,,,,,,,,,,,,,,15.0,10.0,189.0,26.0,51.0,43.0,24.0,0.0,118.0,240.0,0.4917,,,,,,,,,,,,,,,,,,,,,,,
10013435,7f747a00,Regionalwerke Wolfhager Land GmbH,Regionalwerke Wolfhager Land GmbH,293.0,0.0,0.0,0.0,22.0,8.0,0.0,30.0,293.0,0.1024,19.0,1.0,0.0,0.0,5.0,15.0,0.0,20.0,20.0,1.0,,,,,,,,,,,53.0,0.0,158.0,19.0,40.0,180.0,10.0,0.0,230.0,230.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.2857,,,,,,,,,,,
10013580,d1cb2f0d,Netzgesellschaft Panketal GmbH,Netzgesellschaft Panketal GmbH,338.0,0.0,0.0,48.0,115.0,121.0,15.0,299.0,338.0,0.8846,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.75,,,,,,,,,,,32.0,0.0,213.0,26.0,19.0,7.0,5.0,0.0,31.0,271.0,0.1144,,,,,,,,,,,,,,,,,,,,,,,
10013586,5d3c73ba,Queichtal Energie Offenbach Netz GmbH,Queichtal Energie Offenbach Netz GmbH,82.0,0.0,0.0,6.0,76.0,0.0,0.0,82.0,82.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
